no lifting: 
0 152587890623.0
1 54332600470.529816
2 19346433467.200363
3 6888764473.648597
4 2452910819.3133974
5 873418086.5345852
6 311001585.15544397
7 110739618.4751269
8 39431512.82686718
9 14040541.113998521
10 4999472.940012795
11 1780182.4516055475
12 633876.390274486
13 225706.4562551796
14 80367.70192485677
15 28616.331361826513
16 10189.00710599916
17 3627.5136930516146
18 1291.135766354816
19 459.2124060837901
20 162.98708050287723
21 57.511877594208705
22 19.963163565823418
23 6.61572494796925
24 1.9223287096209924
25 0.3843431152881176
26 0.02771922680572958
27 0.00017691532496799667
28 7.334870044672925e-09
29 2.6645352591003757e-15

