no lifting: 
0 0.312499999995904
1 0.29296874998947176
2 0.27465820309752037
3 0.2574920653575619
4 0.24139881115064496
5 0.226311385132336
6 0.2121669227153745
7 0.19890648781774667
8 0.18647482646330255
9 0.17482013436531524
10 0.16389383530523094
11 0.15365036353993555
12 0.14404693394650966
13 0.1350432584428543
14 0.1266011008707727
15 0.11868338781203802
16 0.1112521331958541
17 0.10426322787233348
18 0.09765299399858907
19 0.09130329698311256
20 0.08495205351243645
21 0.07797343008804303
22 0.06890812257291097
23 0.05490619794893927
24 0.03336262253124888
25 0.01063692062072714
26 0.0008929791091370286
27 5.772897372057287e-06
28 2.393628893383967e-10

